Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.5767694,1.402154,0.222748,0.2198479,-0.4262089,-0.584747,-0.6542813
3,0.01111111,0.5802872,1.396783,0.2221498,0.2157745,-0.431254,-0.5831192,-0.653784
3,0.02222222,0.5845037,1.391526,0.2221482,0.2096305,-0.4367779,-0.5820308,-0.6530852
3,0.03333334,0.5878491,1.384989,0.2224936,0.2038411,-0.4414984,-0.5781786,-0.6551623
3,0.04444445,0.5917249,1.378699,0.2223475,0.1980148,-0.4458467,-0.57577,-0.6561249
3,0.05555556,0.5952427,1.371597,0.2234061,0.1896491,-0.4495461,-0.5729963,-0.6584959
3,0.06666667,0.5989535,1.364025,0.2245252,0.1813554,-0.4520563,-0.5699748,-0.6617281
3,0.07777778,0.6020927,1.355112,0.2266212,0.1709135,-0.4523398,-0.5669929,-0.6668556
3,0.08888889,0.6048851,1.34538,0.2292807,0.1608423,-0.4511862,-0.5639469,-0.6726996
3,0.1,0.6070623,1.33568,0.2318256,0.1521436,-0.4499818,-0.5604565,-0.6784227
3,0.1111111,0.6092865,1.326264,0.2343428,0.1442243,-0.4501259,-0.5563796,-0.6833944
3,0.1222222,0.6108024,1.315809,0.2371118,0.1371833,-0.4499034,-0.551004,-0.6893202
3,0.1333333,0.611774,1.305195,0.2402775,0.1307984,-0.4496793,-0.5461004,-0.6945896
3,0.1444445,0.6119797,1.293957,0.2434835,0.1243819,-0.448264,-0.5421503,-0.6997584
3,0.1555556,0.6115117,1.282258,0.247323,0.116936,-0.4454364,-0.5398977,-0.7045728
3,0.1666667,0.611119,1.270522,0.2509305,0.1089697,-0.442236,-0.5372469,-0.7098724
3,0.1777778,0.6084752,1.245374,0.2600164,0.09291475,-0.4304442,-0.5303364,-0.7244501
3,0.1888889,0.6060593,1.231868,0.2651536,0.08573176,-0.4211187,-0.5253296,-0.7343963
3,0.2,0.6030324,1.218495,0.2702243,0.0780319,-0.4128989,-0.5202891,-0.7434546
3,0.2111111,0.5996547,1.204703,0.2752469,0.06997878,-0.4058239,-0.5147559,-0.751955
3,0.2222222,0.5959549,1.191093,0.2802389,0.06200504,-0.4001411,-0.5092206,-0.759432
3,0.2333333,0.5922265,1.177813,0.2849813,0.05411423,-0.3945022,-0.5043313,-0.7662178
3,0.2444444,0.587558,1.16435,0.2903771,0.04653188,-0.3886623,-0.500299,-0.7723195
3,0.2555556,0.5827367,1.151123,0.2955322,0.0392023,-0.382176,-0.4961879,-0.77859
3,0.2666667,0.5754819,1.137516,0.301805,0.03320266,-0.3721098,-0.4915802,-0.7866263
3,0.2777778,0.5689235,1.124097,0.3076963,0.02665697,-0.3620915,-0.4864258,-0.7947133
3,0.2888889,0.5608451,1.110696,0.3143096,0.02123504,-0.3491873,-0.4805614,-0.804163
3,0.3,0.5528021,1.09755,0.3203773,0.0156663,-0.3372295,-0.4738714,-0.8133122
3,0.3111111,0.5432384,1.084473,0.326848,0.01077727,-0.3240949,-0.4658886,-0.8232826
3,0.3222222,0.5432384,1.084473,0.326848,0.01077727,-0.3240949,-0.4658886,-0.8232826
3,0.3333333,0.5239449,1.060378,0.3395281,0.002657977,-0.3011401,-0.448974,-0.8412669
3,0.3444445,0.5134475,1.049027,0.3458493,-0.0007977762,-0.2900172,-0.4426254,-0.8485118
3,0.3555556,0.503196,1.037765,0.3521252,-0.005022984,-0.2784843,-0.4379937,-0.8547414
3,0.3666667,0.503196,1.037765,0.3521252,-0.005022984,-0.2784843,-0.4379937,-0.8547414
3,0.3777778,0.4794564,1.017185,0.3651962,-0.01189293,-0.2513508,-0.4338002,-0.8651583
3,0.3888889,0.4666584,1.007925,0.371819,-0.01331849,-0.2367068,-0.4292465,-0.8715159
3,0.4,0.4666584,1.007925,0.371819,-0.01331849,-0.2367068,-0.4292465,-0.8715159
3,0.4111111,0.4534063,0.9990839,0.3783586,-0.01381269,-0.222095,-0.4232503,-0.878261
3,0.4222222,0.4400949,0.9909765,0.3848786,-0.01427553,-0.2073877,-0.4160808,-0.8852476
3,0.4333333,0.4132593,0.9755024,0.3975241,-0.0150421,-0.1797445,-0.4015298,-0.8979084
3,0.4444444,0.3993335,0.9691031,0.4037995,-0.0149461,-0.1668913,-0.3951261,-0.9032161
3,0.4555556,0.3850484,0.9633735,0.4099109,-0.01460792,-0.1534051,-0.3904575,-0.9076324
3,0.4666667,0.3708458,0.9575967,0.4160717,-0.0138349,-0.1388791,-0.3853834,-0.9121408
3,0.4777778,0.355773,0.9535276,0.4219813,-0.01090285,-0.1224829,-0.3809297,-0.9163906
3,0.4888889,0.3405693,0.9501796,0.4278362,-0.006991269,-0.1065319,-0.377175,-0.9199681
3,0.5,0.3254268,0.9477547,0.4336059,-0.002660005,-0.0920184,-0.3738342,-0.9229158
3,0.5111111,0.3103826,0.9459745,0.4391658,0.001295225,-0.07866806,-0.3699351,-0.9257202
3,0.5222223,0.2954733,0.9438064,0.4447434,0.004930826,-0.06538306,-0.3651491,-0.9286371
3,0.5333334,0.2954733,0.9438064,0.4447434,0.004930826,-0.06538306,-0.3651491,-0.9286371
3,0.5444446,0.2650473,0.9440746,0.4552557,0.01637357,-0.0378046,-0.354309,-0.9342205
3,0.5555557,0.2499003,0.9452282,0.4604008,0.02272356,-0.0232739,-0.3494439,-0.9363925
3,0.5666668,0.2499003,0.9452282,0.4604008,0.02272356,-0.0232739,-0.3494439,-0.9363925
3,0.577778,0.2351215,0.9471234,0.465133,0.02974079,-0.01000384,-0.3446693,-0.9381996
