Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.6314821,1.293293,0.2178929,0.06562959,-0.4859953,-0.5390654,-0.6847699
1,0.01111111,0.6321507,1.28859,0.2179039,0.0638741,-0.4879397,-0.5354725,-0.6863704
1,0.02222222,0.6324973,1.28391,0.21806,0.06110963,-0.4882731,-0.535224,-0.6865788
1,0.03333334,0.6324666,1.278922,0.2193809,0.05726356,-0.4857095,-0.5374259,-0.6870084
1,0.04444445,0.6328211,1.273927,0.2203953,0.05326677,-0.4825537,-0.5395334,-0.6879014
1,0.05555556,0.6323657,1.268663,0.2222259,0.05072291,-0.4776442,-0.540489,-0.690764
1,0.06666667,0.6304579,1.263438,0.2244265,0.05414502,-0.4692957,-0.5409095,-0.6958786
1,0.07777778,0.6304579,1.263438,0.2244265,0.05414502,-0.4692957,-0.5409095,-0.6958786
1,0.08888889,0.630579,1.252592,0.2266076,0.04761137,-0.4670031,-0.534173,-0.7030652
1,0.1,0.630579,1.252592,0.2266076,0.04761137,-0.4670031,-0.534173,-0.7030652
1,0.1111111,0.6302171,1.241438,0.2289858,0.0415261,-0.4632042,-0.5263092,-0.71184
1,0.1222222,0.6299372,1.235784,0.2301254,0.03864645,-0.4621281,-0.5222316,-0.7156942
1,0.1333333,0.6292286,1.230207,0.2313616,0.03659504,-0.4607,-0.5185388,-0.7193983
1,0.1444445,0.6275084,1.224684,0.2329633,0.034655,-0.4590026,-0.5158514,-0.7225047
1,0.1555556,0.6257086,1.218788,0.2348309,0.03292479,-0.4576953,-0.5134013,-0.7251553
1,0.1666667,0.6241744,1.213025,0.2364204,0.03152693,-0.4560758,-0.510664,-0.7281643
1,0.1777778,0.6211793,1.206723,0.2390931,0.03081373,-0.4525041,-0.5072209,-0.7328148
1,0.1888889,0.618186,1.200258,0.2421007,0.02971438,-0.4478013,-0.5028413,-0.7387434
1,0.2,0.6151609,1.193186,0.2449689,0.0270525,-0.4416538,-0.5007735,-0.7439328
1,0.2111111,0.6121569,1.186362,0.2482059,0.02319947,-0.4361395,-0.500128,-0.7477407
1,0.2222222,0.6088099,1.17879,0.251626,0.01858936,-0.4285761,-0.500896,-0.7517182
1,0.2333333,0.6050773,1.171422,0.2553196,0.0159091,-0.4214096,-0.4998897,-0.7564861
1,0.2444444,0.6013179,1.164106,0.2588441,0.01413994,-0.4150186,-0.4976103,-0.7615404
1,0.2555556,0.5975187,1.157136,0.2621143,0.0125595,-0.4096001,-0.4942965,-0.7666427
1,0.2666667,0.5932429,1.149988,0.2655365,0.01164636,-0.4052383,-0.4891664,-0.7722452
1,0.2777778,0.5889268,1.14266,0.2687514,0.01069553,-0.401786,-0.4834034,-0.7776727
1,0.2888889,0.5841463,1.135403,0.272336,0.009078869,-0.3986322,-0.4774818,-0.7829567
1,0.3,0.5841463,1.135403,0.272336,0.009078869,-0.3986322,-0.4774818,-0.7829567
1,0.3111111,0.5792379,1.127776,0.2758052,0.00755664,-0.3942986,-0.4706792,-0.7892609
1,0.3222222,0.5742517,1.12028,0.2796597,0.005621951,-0.3891288,-0.4645794,-0.7954327
1,0.3333333,0.569036,1.112461,0.2832992,0.003299715,-0.3832372,-0.4589691,-0.8015396
1,0.3444445,0.5563555,1.095978,0.2916563,-0.003598993,-0.3681352,-0.4520224,-0.8124896
1,0.3555556,0.5495145,1.087685,0.2958164,-0.006405544,-0.3606817,-0.4480621,-0.8179903
1,0.3666667,0.5425081,1.079516,0.3001437,-0.00845639,-0.3538902,-0.4425797,-0.8239014
1,0.3777778,0.5353916,1.071368,0.304296,-0.01039518,-0.3470438,-0.4368682,-0.8298186
1,0.3888889,0.5275445,1.06303,0.3089993,-0.01214925,-0.3392956,-0.4300896,-0.8365129
