Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.2949963,1.281928,0.4329684,0.5269675,0.2615142,0.6167735,-0.5229781
2,0.01111111,0.2963147,1.280462,0.4318442,0.5258105,0.2589566,0.6248101,-0.5158266
2,0.02222222,0.2978358,1.278687,0.4308197,0.5246496,0.2570142,0.6313438,-0.5099916
2,0.03333334,0.298573,1.278276,0.4292259,0.5227433,0.2578248,0.6389371,-0.5020212
2,0.04444445,0.2974458,1.278558,0.4279449,0.5181823,0.2599322,0.6463934,-0.4960827
2,0.05555556,0.2961049,1.278865,0.4268472,0.5136634,0.2604931,0.6525963,-0.4923529
2,0.06666667,0.2926121,1.280622,0.4268,0.5032439,0.2643341,0.6608803,-0.4900104
2,0.07777778,0.2904432,1.281396,0.4264331,0.49483,0.265578,0.6681464,-0.4880493
2,0.08888889,0.2867548,1.283275,0.4260273,0.4856724,0.2672926,0.6738488,-0.4884718
2,0.1,0.2828987,1.285627,0.4251163,0.4801173,0.268991,0.6777139,-0.4876834
2,0.1111111,0.279299,1.287847,0.4239352,0.4763392,0.2703013,0.6815521,-0.4853091
2,0.1222222,0.2747102,1.291321,0.4221852,0.4763902,0.2716023,0.6832879,-0.4820812
2,0.1333333,0.2705023,1.294074,0.4209571,0.4729893,0.2735526,0.6870111,-0.479026
2,0.1444445,0.2650456,1.297763,0.4201498,0.4682176,0.2763049,0.6912135,-0.4760796
2,0.1555556,0.2592137,1.301748,0.419699,0.4612881,0.2792376,0.6966626,-0.4731817
2,0.1666667,0.2536376,1.305568,0.4192586,0.454382,0.2834967,0.7026967,-0.4683845
2,0.1777778,0.2536376,1.305568,0.4192586,0.454382,0.2834967,0.7026967,-0.4683845
2,0.1888889,0.2412844,1.314108,0.4182475,0.441449,0.296117,0.7179588,-0.4494137
2,0.2,0.2347789,1.318688,0.4177322,0.4345173,0.3032969,0.7274784,-0.4358681
2,0.2111111,0.2284615,1.322944,0.4173429,0.4274255,0.3094541,0.7358451,-0.4243555
2,0.2222222,0.2213895,1.327487,0.4174001,0.4174633,0.3174759,0.7453339,-0.4115955
2,0.2333333,0.2139225,1.33203,0.4177845,0.4056459,0.3251002,0.7546279,-0.4003722
2,0.2444444,0.2058215,1.336309,0.4186034,0.3909218,0.3315852,0.7627648,-0.3942352
2,0.2555556,0.1983545,1.340644,0.4190717,0.3769237,0.3386951,0.7694868,-0.3887213
2,0.2666667,0.1901953,1.345168,0.4201331,0.3598287,0.3481219,0.7754598,-0.3847032
2,0.2777778,0.1821115,1.350074,0.4203186,0.3468902,0.3571087,0.7788815,-0.3814238
2,0.2888889,0.1747904,1.354542,0.4206057,0.3364902,0.3647769,0.781494,-0.3781262
2,0.3,0.1682847,1.359703,0.4203358,0.3293851,0.3728041,0.782687,-0.3740638
2,0.3111111,0.1615772,1.364499,0.4206443,0.3235598,0.381079,0.7839599,-0.3680961
2,0.3222222,0.1554627,1.368855,0.4214666,0.3196271,0.3882167,0.7845763,-0.3627208
2,0.3333333,0.1491909,1.373736,0.4218044,0.3148963,0.3949121,0.7849814,-0.3587324
2,0.3444445,0.1438129,1.378496,0.4222963,0.3134063,0.4012492,0.7830741,-0.3571701
2,0.3555556,0.1381865,1.383309,0.4226069,0.3112634,0.408404,0.7809115,-0.3556664
2,0.3666667,0.1336162,1.388314,0.4229059,0.3148298,0.4161997,0.7749599,-0.3565069
2,0.3777778,0.1288927,1.393029,0.423131,0.3156414,0.42363,0.7708545,-0.3559375
2,0.3888889,0.1245847,1.398037,0.4236221,0.3177673,0.4313705,0.765505,-0.3562942
2,0.4,0.1207206,1.402744,0.4242966,0.3182956,0.4394194,0.7619724,-0.3535486
2,0.4111111,0.1170056,1.407276,0.4254405,0.3167821,0.4474893,0.7596074,-0.3498557
2,0.4222222,0.1129301,1.411738,0.4265597,0.314912,0.4547018,0.7570348,-0.3478148
2,0.4333333,0.1097205,1.416301,0.4283378,0.3130479,0.4612398,0.7543449,-0.3467313
