Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.2732043,1.381749,0.4468465,0.6222577,-0.02073285,0.4088069,-0.6672648
3,0.01111111,0.2755475,1.380839,0.445605,0.6274311,-0.02402424,0.4095918,-0.6618064
3,0.02222222,0.2777073,1.379535,0.4438231,0.6333481,-0.02734289,0.4095402,-0.6560484
3,0.03333334,0.2799582,1.378356,0.4422133,0.6395529,-0.03233805,0.4092244,-0.6499707
3,0.04444445,0.2817881,1.377149,0.4403946,0.6450999,-0.0387061,0.4065029,-0.6458355
3,0.05555556,0.2832704,1.376601,0.4381235,0.6509138,-0.05070727,0.3959784,-0.6457098
3,0.06666667,0.2842708,1.376264,0.4379418,0.6511499,-0.0553913,0.3927831,-0.6470372
3,0.07777778,0.2850518,1.375866,0.437176,0.6518092,-0.06063041,0.3886852,-0.6483769
3,0.08888889,0.2855232,1.376218,0.4364839,0.6531952,-0.06457732,0.3856837,-0.6483934
3,0.1,0.2848756,1.376456,0.4360743,0.6541827,-0.06555957,0.3836159,-0.6485259
3,0.1111111,0.2832513,1.376986,0.4355981,0.6558114,-0.06406013,0.3822525,-0.6478355
3,0.1222222,0.2810659,1.377845,0.4351027,0.6574777,-0.05990645,0.3817002,-0.6468688
3,0.1333333,0.2790353,1.378723,0.4350178,0.6587783,-0.05718809,0.3803354,-0.6465955
3,0.1444445,0.2756267,1.38024,0.4349375,0.6591912,-0.05245342,0.3796577,-0.6469743
3,0.1555556,0.2727354,1.381578,0.435195,0.6593007,-0.04772741,0.3802336,-0.6468904
3,0.1666667,0.2688746,1.383335,0.4356575,0.6580632,-0.04294067,0.3809979,-0.6480352
3,0.1777778,0.2645097,1.384816,0.4363506,0.6557083,-0.03705442,0.3835405,-0.6492845
3,0.1888889,0.2597809,1.386271,0.4369066,0.6530765,-0.02961077,0.3883097,-0.6494843
3,0.2,0.254859,1.387827,0.4373593,0.6500869,-0.02093766,0.3955058,-0.6484782
3,0.2111111,0.250448,1.389394,0.4376817,0.6477197,-0.01302278,0.4023232,-0.6468584
3,0.2222222,0.245193,1.390713,0.4379787,0.6445144,-0.002994576,0.4124623,-0.6437913
3,0.2333333,0.2398012,1.391835,0.4382601,0.6410085,0.005707033,0.422128,-0.6410021
3,0.2444444,0.2346325,1.392872,0.4385605,0.6371819,0.01332413,0.4305786,-0.6390804
3,0.2555556,0.229141,1.394099,0.4387803,0.6323901,0.01971786,0.438468,-0.6383103
3,0.2666667,0.2231541,1.394975,0.439085,0.6271189,0.02673838,0.4453173,-0.6385135
3,0.2777778,0.2167792,1.395797,0.4391563,0.6228048,0.03490756,0.4513489,-0.6381065
3,0.2888889,0.2101653,1.396477,0.4390044,0.6194196,0.0435025,0.4565997,-0.6371372
3,0.3,0.2039919,1.397272,0.4387102,0.6159792,0.0518127,0.4615253,-0.6363015
3,0.3111111,0.1974125,1.397818,0.4383605,0.6132333,0.06003991,0.4648374,-0.6358195
3,0.3222222,0.1904526,1.398402,0.4377973,0.6105775,0.06786364,0.4674174,-0.635697
3,0.3333333,0.1834662,1.399073,0.4375718,0.6074825,0.07628239,0.4705372,-0.6354061
3,0.3444445,0.1770704,1.399961,0.4376323,0.6037683,0.08392908,0.4747737,-0.6348305
3,0.3555556,0.1722326,1.399023,0.437618,0.5996292,0.08903863,0.4927366,-0.6242818
3,0.3666667,0.1672699,1.398624,0.4381583,0.5943242,0.09804522,0.5059441,-0.6174031
3,0.3777778,0.1624413,1.398222,0.4386735,0.5858144,0.1060437,0.516924,-0.6151146
3,0.3888889,0.1572332,1.397705,0.4399476,0.5749684,0.1097242,0.5236436,-0.6190068
3,0.4,0.1522498,1.396825,0.4415781,0.5628038,0.1108663,0.5288339,-0.625536
3,0.4111111,0.1471436,1.396031,0.4431059,0.5518187,0.1119392,0.5329459,-0.6316125
3,0.4222222,0.142241,1.395565,0.4440241,0.5421506,0.1157456,0.5389925,-0.634163
3,0.4333333,0.1374018,1.39517,0.4445455,0.5328026,0.1197164,0.5465254,-0.6349011
3,0.4444444,0.1328413,1.394631,0.4445989,0.5258084,0.1232669,0.5555645,-0.6322017
3,0.4555556,0.1285124,1.394052,0.4441755,0.5197692,0.1272019,0.5639224,-0.6290081
3,0.4666667,0.124294,1.39377,0.4428675,0.5159666,0.1316165,0.5706813,-0.6251228
3,0.4777778,0.1199062,1.393646,0.441196,0.5126095,0.1360273,0.5744208,-0.6235133
3,0.4888889,0.1155722,1.393629,0.4394209,0.5098383,0.1397113,0.576155,-0.6233708
3,0.5,0.1112549,1.393545,0.4376802,0.5072953,0.1435189,0.5780534,-0.6228228
3,0.5111111,0.1072123,1.393785,0.4352646,0.5086637,0.1474404,0.5756773,-0.6229914
3,0.5222223,0.1032989,1.394199,0.4322016,0.513217,0.1524743,0.5703686,-0.6229283
3,0.5333334,0.09950542,1.394791,0.428951,0.5192886,0.1586659,0.5628364,-0.6232012
3,0.5444446,0.09597993,1.395594,0.4252923,0.5271098,0.1643785,0.5539291,-0.6231353
3,0.5555557,0.0933485,1.396136,0.4215455,0.5357316,0.1678617,0.5464724,-0.6214356
3,0.5666668,0.09075642,1.396314,0.4181302,0.5434272,0.1706772,0.5396584,-0.6199394
3,0.577778,0.08916521,1.397033,0.4145811,0.5537487,0.1726556,0.5299327,-0.6186467
3,0.5888891,0.0891974,1.397412,0.4114347,0.5646868,0.1736948,0.5203328,-0.616614
3,0.6000003,0.08862162,1.397784,0.4084876,0.5730347,0.1740294,0.5134073,-0.6146201
3,0.6111114,0.08885598,1.397846,0.4059863,0.5810809,0.172873,0.5069115,-0.6127811
3,0.6222225,0.09025574,1.398012,0.4043503,0.5888985,0.1689529,0.5012903,-0.6110332
3,0.6333337,0.09223485,1.397924,0.4030671,0.5954218,0.1652766,0.4964314,-0.6096823
3,0.6444448,0.09479237,1.397581,0.4028599,0.6004885,0.1611216,0.4931584,-0.6084802
3,0.655556,0.09785819,1.397127,0.4028914,0.6040174,0.155864,0.4905329,-0.6084791
3,0.6666671,0.1014352,1.396448,0.4035187,0.6065913,0.1495738,0.4883963,-0.6092157
3,0.6777782,0.1054268,1.395658,0.4046173,0.6082619,0.1424967,0.4878613,-0.6096749
3,0.6888894,0.1093662,1.395082,0.4052293,0.6103581,0.1364682,0.4876583,-0.6091213
3,0.7000005,0.1143353,1.393982,0.4070103,0.6107797,0.1291408,0.4900855,-0.6083478
3,0.7111117,0.1196408,1.39305,0.4089992,0.610865,0.1217923,0.4921471,-0.6081134
3,0.7222228,0.1250765,1.391996,0.4109664,0.6107515,0.1145907,0.4932297,-0.6087496
3,0.7333339,0.1302612,1.391118,0.4127672,0.6108626,0.1077367,0.4933846,-0.6097634
3,0.7444451,0.1362088,1.390137,0.4146013,0.6097513,0.1012612,0.4933275,-0.6120275
3,0.7555562,0.1421871,1.389325,0.4164646,0.6084319,0.09626704,0.4929928,-0.6144114
3,0.7666674,0.1478171,1.388625,0.4179943,0.6075128,0.09257317,0.4928097,-0.6160333
3,0.7777785,0.1537795,1.38834,0.4196122,0.6049573,0.09586874,0.4913319,-0.6192163
3,0.7888896,0.1594105,1.388304,0.4214146,0.603348,0.0970396,0.4872346,-0.6238245
3,0.8000008,0.165122,1.388446,0.4226785,0.6019816,0.100308,0.4765737,-0.6327984
3,0.8111119,0.1716135,1.388543,0.4238298,0.6027379,0.09804461,0.4649852,-0.6410016
3,0.8222231,0.1787701,1.388047,0.4247253,0.604845,0.09083685,0.4554551,-0.6468941
3,0.8333342,0.1877298,1.387202,0.4251275,0.6092494,0.07574881,0.4467195,-0.6507834
3,0.8444453,0.1973493,1.386202,0.4254453,0.6134751,0.06042252,0.4418925,-0.6517119
3,0.8555565,0.2070472,1.385036,0.4255733,0.6176937,0.0451261,0.4425525,-0.6485102
3,0.8666676,0.216362,1.383933,0.4254839,0.6227624,0.03167007,0.446227,-0.6419077
3,0.8777788,0.2248933,1.383106,0.4249594,0.628349,0.02131792,0.4493074,-0.6347016
3,0.8888899,0.2327337,1.382336,0.4247487,0.6329142,0.0133104,0.4498706,-0.6299674
3,0.900001,0.2393184,1.38231,0.4243164,0.6371573,0.00918284,0.4498377,-0.6257735
3,0.9111122,0.2454247,1.382345,0.4244385,0.6398796,0.006305885,0.4493345,-0.6233883
3,0.9222233,0.2510438,1.382638,0.4245505,0.6416727,0.002981212,0.4491917,-0.6216705
3,0.9333345,0.2568541,1.382682,0.4249258,0.6432554,-0.002483657,0.4495941,-0.6197432
3,0.9444456,0.2629697,1.382767,0.4251878,0.6453194,-0.00958132,0.4499569,-0.61726
3,0.9555568,0.2675138,1.383036,0.4254327,0.647649,-0.01761183,0.4493316,-0.6150949
3,0.9666679,0.2726438,1.383384,0.4254901,0.6503549,-0.02465533,0.4486076,-0.6125211
3,0.977779,0.276423,1.383764,0.4257557,0.6533663,-0.03075745,0.4474959,-0.6098475
3,0.9888902,0.2795455,1.384297,0.4260802,0.6552687,-0.03667134,0.4474902,-0.607479
3,1.000001,0.2822313,1.384759,0.4268773,0.6557495,-0.04233775,0.4487718,-0.6056436
3,1.011112,0.2842903,1.385271,0.427954,0.654906,-0.0452113,0.4522204,-0.6037805
3,1.022224,0.2860975,1.386056,0.4292336,0.6532477,-0.04622392,0.4576784,-0.6013829
3,1.033335,0.2877989,1.386589,0.4304955,0.6519239,-0.04780247,0.4624493,-0.5990416
3,1.044446,0.2886035,1.387076,0.4320741,0.6497178,-0.04892947,0.4688114,-0.5963964
3,1.055557,0.2887685,1.388013,0.4337595,0.647745,-0.0477955,0.4751471,-0.5936139
3,1.066668,0.2881074,1.388945,0.4354608,0.6459242,-0.04494755,0.4810466,-0.5910634
3,1.077779,0.2877653,1.38983,0.4369164,0.6446503,-0.04368278,0.4860906,-0.5884162
3,1.08889,0.2864485,1.390945,0.4384503,0.6432345,-0.04158785,0.4914372,-0.5856701
3,1.100002,0.2846255,1.391874,0.4398057,0.642277,-0.03989115,0.4960759,-0.5829218
3,1.111113,0.2824397,1.392979,0.4412873,0.6409425,-0.03775198,0.5005189,-0.5807311
3,1.122224,0.2802694,1.394053,0.4427636,0.6394575,-0.03496666,0.5044959,-0.5790989
3,1.133335,0.2769153,1.395334,0.4444876,0.6373592,-0.03092868,0.5076945,-0.5788462
3,1.144446,0.2731702,1.396624,0.446243,0.6348112,-0.02695717,0.5107479,-0.5791585
3,1.155557,0.2690716,1.397784,0.4479277,0.6322567,-0.02281544,0.5141178,-0.5791491
3,1.166668,0.264796,1.398979,0.4494352,0.6301101,-0.01953802,0.517148,-0.5789106
3,1.17778,0.2602859,1.400074,0.4508269,0.6284537,-0.01708424,0.5198802,-0.5783412
3,1.188891,0.2602859,1.400074,0.4508269,0.6284537,-0.01708424,0.5198802,-0.5783412
3,1.200002,0.2505798,1.402346,0.4530756,0.6258792,-0.01061189,0.5247901,-0.5768518
3,1.211113,0.2451844,1.403715,0.4541554,0.624534,-0.004981711,0.527241,-0.5761505
3,1.222224,0.2388484,1.405057,0.4551773,0.6225976,0.002848032,0.5294831,-0.5762046
3,1.233335,0.2321794,1.406248,0.4564219,0.6193205,0.01138966,0.53193,-0.5773759
3,1.244446,0.2253859,1.407398,0.4576783,0.6154019,0.01928298,0.5343124,-0.5791536
3,1.255558,0.2185376,1.408324,0.4588385,0.6115595,0.02648265,0.5365484,-0.5808697
3,1.266669,0.2119377,1.409122,0.4599524,0.6082277,0.03257426,0.5385567,-0.5821982
3,1.27778,0.2047298,1.409819,0.4607844,0.6052166,0.03901463,0.5398135,-0.5837741
3,1.288891,0.19753,1.410537,0.4614651,0.6027461,0.04566715,0.5410688,-0.5846848
3,1.300002,0.1902335,1.410893,0.4618042,0.600979,0.05240479,0.5408555,-0.5861343
3,1.311113,0.182394,1.411234,0.4621735,0.599189,0.05896776,0.5396306,-0.5884676
3,1.322224,0.1749041,1.411391,0.4623992,0.596904,0.06639949,0.5384896,-0.5910379
3,1.333336,0.166908,1.411439,0.4623601,0.5943634,0.07375204,0.5363461,-0.5946643
3,1.344447,0.1592648,1.411413,0.4623916,0.5916412,0.0808296,0.5352709,-0.5974213
3,1.355558,0.1518435,1.411221,0.462455,0.5890431,0.08782226,0.5340792,-0.6000625
3,1.366669,0.1444433,1.410896,0.4620745,0.5867464,0.09439342,0.5321802,-0.6029948
3,1.37778,0.1372333,1.410182,0.4616411,0.5846383,0.10129,0.5298028,-0.6060095
3,1.388891,0.1302547,1.409226,0.4607813,0.583059,0.108009,0.5264456,-0.6092876
